site,Hydrol. System,lat,long
Aabach–Mönchsaltorf,Catchment,47.31,8.72
Allt a'Mharcaidh,Catchment,57.116,-3.848
Allt Coire nan Con,Catchment,56.758,-5.613
Attert basin,Soil profile,49.771,5.97
Bogus Creek,Catchment,43.7,-116.167
Bruntland Burn,Catchment,57.04334,-3.12268
Bruntland Burn,Soil profile,57.04334,-3.12268
Burn of Bennie,Catchment,57.059,-2.467
Caño Seco,Catchment,8.737,-82.946
Chenqi,Catchment,26.264,105.772
Demnitzer Millcreek,Catchment,52.3542,14.19262
Demnitzer Millcreek,Soil profile,52.3542,14.19262
Eichstetten,Soil profile,48.08,7.7
EPFL campus,Soil column,46.52139,6.567382
Gårdsjön G1,Catchment,58.053,12.016
Girnock Burn,Catchment,57.047,-3.115
Granger Basin,Catchment,60.533,-135.183
Hartheim,Soil profile,47.93,7.6
HJ Andrews WS 10,Catchment,44.2169,-122.261
HJ Andrews WS 10,Hillslope,44.2169,-122.261
Hubbard Brook,Catchment,43.95858,-71.7208
Hupsel Brook,Catchment,52.064,6.629
Kerbernez,Catchment,47.9433,-4.12338
Kerrien,Catchment,47.9439,-4.12081
Kervidy-Naizin,Catchment,48.0062,-2.83143
Krycklan,Catchment,64.23,19.76
"LEO hillslopes (East, West), Landscape Evolution Observatory, Biosphere 2",Hillslope,32.57884,-110.85115
Loch Ard Burn 11,Catchment,56.15655,-4.464868767
"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,32.57884,-110.85115
Neuherberg,Soil column,48.222,11.595
Plastic-1,Catchment,45.183,-78.833
"Plynlimon, Hafren",Catchment,52.475,-3.705
"Plynlimon, Upper Hafren",Catchment,52.4905,-3.7304
Salmon Catchment,Catchment,-33.4,116
Schäfertal,Catchment,51.6545,11.04975
Steglitz Urban Ecohydrological Observatory,Catchment,52.457232,13.315827
Susannah Brook,Catchment,-31.83,116.15
Wuestebach,Catchment,50.504,6.334
Marshall Gulch,Catchment,32.4,-110.767
Weierbach,Catchment,49.828,5.796
Alteckendorf,Catchment,48.788,7.59
"Plynlimon, Tanllwyth",Catchment,52.474,-3.709
Lake Stechlin,Soil profile,53.13333,13.03333
Svartberget,Catchment,64.23333,19.76667
Howard River,Catchment,-12.4625,131.0836
"Southern Sierra Critical Zone Observatory, P301",Catchment,37.055,-119.205
"Bode, upper Selke, Silberhütte",Catchment,51.624,11.078
San Lorencito river,Catchment,10.22,-84.587
Lägeren,Soil profile,47.47833,8.36439
Corin,Catchment,-35.66,148.84
Baldardo Burn,Catchment,56.6586,-2.8227
Loch Ard Burn 10,Catchment,56.15641,-4.468901
Springendalse Beek,Catchment,52.43361,6.91418
