author_year,doi,site,system,tracer,TTD approach,Model name,Tracer influx sampling resolution,Tracer data target (resolution),Hydrometric data target,estimated age metric,Model resolution [h]
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Krycklan,Catchment,O-18,flux tracking,STARR,daily,stream (weekly),"streamflow, SWE","full distribution, median age",24
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Bogus Creek,Catchment,O-18,flux tracking,STARR,daily,stream (sporadic),"streamflow, SWE","full distribution, median age",24
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Bruntland Burn,Catchment,O-18,flux tracking,STARR,sporadic,stream (daily),"streamflow, SWE","full distribution, median age",24
Asadollahi et al. (2020),10.1029/2019WR025539,EPFL campus,Soil column,FBAs,"SAS, distributed process-based with virtual flux tracking","tran-SAS, HYDRUS-1D",(controlled experiment),leakage (subdaily),NA,"full distribution, mean age",24
Asadollahi et al. (2020),10.1029/2019WR025539,Neuherberg,Soil column,"O-18, H-2, lc-excess","SAS, distributed process-based with virtual flux tracking","tran-SAS, HYDRUS-1D",weekly,leakage (weekly),NA,"full distribution, mean age",24
Benettin et al. (2013),10.1002/wrcr.20309,Hupsel Brook,Catchment,Cl,well-mixed compartments (2 buckets),NA,"(no sampling, estimation from regional fertilizer use)","stream (irregular, weekly)",streamflow,"full distribution, mean age",1
Benettin et al. (2015a),10.1002/2014WR016600,"Plynlimon, Upper Hafren",Catchment,Cl,well-mixed compartments (2 buckets),NA,subdaily,stream (subdaily),streamflow,"full distribution, marginal distribution, mean age",1
Benettin et al. (2015b),10.1002/2015WR017552,Hubbard Brook,Catchment,"H-2, Si, Na",well-mixed compartments (3 buckets),NA,fortnightly,"stream (weekly, fortnightly)",streamflow,"full distribution, median age",1
Benettin et al. (2017),10.1002/2016WR020117,Bruntland Burn,Catchment,H-2,SAS,tran-SAS,daily,stream (daily),NA,"full distribution, median age",1
Benettin et al. (2020),10.1002/hyp.13781,Kervidy-Naizin,Catchment,Cl,SAS,tran-SAS,"(no sampling, estimation from regional fertilizer use)",stream (daily),NA,"full distribution, young water fractions",24
Bertuzzo et al. (2013),10.1016/j.advwatres.2012.11.007,Aabach–Mönchsaltorf,Catchment,Atrazine,well-mixed (2 buckets),NA,NA,"stream (event-based, irregular)",streamflow,full distribution,24
Birkel and Soulsby (2016),10.1002/hyp.10941,Caño Seco,Catchment,H-2,flux tracking,NA,daily,stream (daily),streamflow,,24
Birkel et al. (2015),10.1002/hyp.10414,Girnock Burn,Catchment,O-18,flux tracking,NA,weekly,stream (weekly),streamflow,,24
Birkel et al. (2020),10.1029/2019WR026175,Howard River,Catchment,"H-2, DOC",well-mixed compartment (4 buckets),SAVTAM,daily,stream (weekly to monthly),streamflow,median age,24
Cain et al. (2019),10.1002/hyp.13518,HJ Andrews WS 10,Catchment,Cl,well/partially-mixed (4 buckets in series),NA,weekly,stream (irregular),streamflow (multiple signatures),,24
Corria et al. (2020),10.1002/hyp.13925,San Lorencito river,Catchment,H-2,flux tracking,STARRtropics,fortnightly to monthly,stream (event based to weekly),streamflow,mean,1
Davies et al. (2013),10.1002/wrcr.20377,Gårdsjön G1,Catchment,O-18,"particle tracking, distributed process-based",MIPs,daily and fortnightly,stream (event based to weekly),streamflow,,24
Douinot et al. (2019),10.1002/hyp.13480,Lake Stechlin,Soil profile,Cl,flux tracking,EcH2O-iso,biweekly,Soil water (biweekly),"soil moisture, sap flux",mean age,24
Gillefalk et al. (2021) in review,10.5194/hess-2020-640,Steglitz Urban Ecohydrological Observatory,Catchment,"O-18, H-2",flux tracking,EcH2O-iso,monthly to daily,Soil water (monthly),soil moisture,mean age,24
Harman (2015),10.1002/2014WR015707,"Plynlimon, Hafren",Catchment,Cl,SAS,rSAS,daily,stream (irregular),NA,full distribution,24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Allt Coire nan Con,Catchment,Cl,well/partially-mixed (3 buckets in series),DYNAMITE,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),,24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Loch Ard Burn 11,Catchment,Cl,well/partially-mixed (4 buckets in series),DYNAMITE,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),,24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Allt a'Mharcaidh,Catchment,Cl,well/partially-mixed (4 buckets in series),DYNAMITE,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),,24
Hrachowitz et al. (2015),10.1002/hyp.10546,Kerbernez,Catchment,Cl,well/partially-mixed (6 buckets parallel/in series),DYNAMITE,fortnightly,stream (irregular),streamflow (multiple signatures),,24
Hrachowitz et al. (2015),10.1002/hyp.10546,Kerrien,Catchment,Cl,well/partially-mixed (6 buckets parallel/in series),DYNAMITE,fortnightly,stream (irregular),streamflow (multiple signatures),,24
Hrachowitz et al. (2021),10.5194/hess-25-4887-2021,Wuestebach,Catchment,O-18,SAS (7 buckets parallel/in series),DYNAMITE,weekly/daily,stream (weekly),streamflow (multiple signatures),,24
Jutebring Sterte (2021),10.5194/hess-25-2133-2021,Krycklan,Catchment,O-18,"particle tracking, lumped model",Mike SHE,daily,,"streamflow, groundwater levels",,24
Kim et al. (2016),10.1002/2016WR018620,"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,"Cl, H-2","SAS, PERTH",NA,(controlled experiment),seepage flow (hourly),NA,"full distribution, median age",1
Kim et al. (2020) in review,10.1002/essoar.10504485.1,"LEO hillslopes (East, West), Landscape Evolution Observatory, Biosphere 2",Hillslope,"Cl, Br, H-2","SAS, PERTH",NA,event based to weekly,seepage flow (hourly),NA,"full distribution, young water fraction, median age",
Klaus et al. (2015),10.1002/2014WR016247,HJ Andrews WS 10,Catchment,O-18,"particle tracking, lumped model",DCMS,event based to weekly,stream (event based to weekly),NA,,24
Kuppel et al. (2018),10.5194/gmd-11-3045-2018,Bruntland Burn,Catchment,"H-2, lc-excess",flux tracking,EcH2O-iso,daily,"stream (daily), soil water (monthly)","streamflow, soil moisture, sap flux",mean age,24
Kuppel et al. (2020),10.1029/2020GL088897,Bruntland Burn,Catchment,"H-2, lc-excess",flux tracking,EcH2O-iso,daily,"stream (daily), soil water (monthly)","streamflow, soil moisture, sap flux",mean age,24
