site,country,size_km2,lat_WGS84,long_WGS84
Aabach–Mönchsaltorf,CH,46,47.31,8.72
Allt a'Mharcaidh,UK,9.6,57.116,-3.848
Allt Coire nan Con,UK,8,56.758,-5.613
Alteckendorf,FR,0.47,48.788,7.59
Attert basin,LU,NA,49.771,5.97
Baldardo Burn,UK,2,56.6586,-2.8227
"Bode, upper Selke, Silberhütte",DE,100,51.624,11.078
Bogus Creek,US,0.6,43.7,-116.167
Bruntland Burn,UK,3.2,57.04334,-3.12268
Burn of Bennie,UK,7.9,57.059,-2.467
Caño Seco,CR,30,8.737,-82.946
Chenqi,CN,1.25,26.264,105.772
Corin,AU,147,-35.66,148.84
Demnitzer Millcreek,DE,NA,52.3542,14.19262
Eichstetten,DE,NA,48.08,7.7
EPFL campus,CH,1e-6,46.52139,6.567382
Gårdsjön G1,SE,0.0063,58.053,12.016
Girnock Burn,UK,30,57.047,-3.115
Granger Basin,CA,7.8,60.533,-135.183
Hartheim,DE,NA,47.93,7.6
HJ Andrews WS 10,US,0.96,44.2169,-122.261
Howard River,AU,126,-12.4625,131.0836
Hubbard Brook,US,0.42,43.95858,-71.7208
Hupsel Brook,NL,6.5,52.064,6.629
Kaiserstuhl,NA,NA,NA,NA
Kerbernez,FR,0.12,47.9433,-4.12338
Kerrien,FR,0.11,47.9439,-4.12081
Kervidy-Naizin,FR,5,48.0062,-2.83143
Krycklan,SE,0.5,64.23,19.76
Lägeren,CH,NA,47.47833,8.36439
Lake Stechlin,DE,NA,53.13333,13.03333
"LEO hillslopes (East, West), Landscape Evolution Observatory, Biosphere 2",US,3.3e-4,32.57884,-110.85115
Loch Ard Burn 10,UK,0.9,56.15641,-4.468901
Loch Ard Burn 11,UK,1.4,56.15655,-4.464868767
Marshall Gulch,US,1.53,32.4,-110.767
"miniLEO, Landscape Evolution Observatory, Biosphere 2",US,1e-6,32.57884,-110.85115
Neuherberg,DE,1e-6,48.222,11.595
Plastic-1,CA,0.23,45.183,-78.833
"Plynlimon, Hafren",UK,3.5,52.475,-3.705
"Plynlimon, Tanllwyth",UK,0.9,52.474,-3.709
"Plynlimon, Upper Hafren",UK,1.2,52.4905,-3.7304
Salmon Catchment,AU,0.82,-33.4,116
San Lorencito river,CR,3.2,10.22,-84.587
Schäfertal,DE,1.44,51.6545,11.04975
"Southern Sierra Critical Zone Observatory, P301",US,1,37.055,-119.205
Springendalse Beek,NL,4,52.43361,6.91418
Steglitz Urban Ecohydrological Observatory,DE,0.0078,52.457232,13.315827
Susannah Brook,AU,27,-31.83,116.15
Svartberget,SW,0.49,64.23333,19.76667
Weierbach,LU,0.42,49.828,5.796
Wuestebach,DE,0.39,50.504,6.334
